Longitude,Latitude,Pixel,Scan
25.7417881,-85.0377384,0,0
25.7330217,-85.0380599,100,0
25.7242544,-85.0383813,200,0
25.7154861,-85.0387026,300,0
25.706717,-85.0390238,400,0
25.697947,-85.0393448,500,0
25.6891761,-85.0396657,600,0
25.6804043,-85.0399865,700,0
25.6716316,-85.0403072,800,0
25.662858,-85.0406277,900,0
25.6540835,-85.0409482,1000,0
25.6453081,-85.0412685,1100,0
25.6365318,-85.0415887,1200,0
25.6277547,-85.0419088,1300,0
25.6189766,-85.0422288,1400,0
25.6101976,-85.0425486,1500,0
25.6014177,-85.0428683,1600,0
25.592637,-85.0431879,1700,0
25.5838553,-85.0435074,1800,0
25.5750727,-85.0438268,1900,0
25.5662893,-85.044146,2000,0
25.5575049,-85.0444652,2100,0
25.5487197,-85.0447842,2200,0
25.5399335,-85.0451031,2300,0
25.5311465,-85.0454218,2400,0
25.5223586,-85.0457405,2500,0
25.5135698,-85.046059,2600,0
25.50478,-85.0463774,2700,0
25.4959894,-85.0466957,2800,0
25.4871979,-85.0470139,2900,0
25.4784055,-85.047332,3000,0
25.4696122,-85.0476499,3100,0
25.460818,-85.0479677,3200,0
25.4520229,-85.0482854,3300,0
25.443227,-85.048603,3400,0
25.4344301,-85.0489205,3500,0
25.4256323,-85.0492378,3600,0
25.4168337,-85.049555,3700,0
25.4080341,-85.0498721,3800,0
25.3992337,-85.0501891,3900,0
25.3904323,-85.050506,4000,0
25.3816301,-85.0508227,4100,0
25.372827,-85.0511393,4200,0
25.364023,-85.0514559,4300,0
25.3552181,-85.0517722,4400,0
25.3464123,-85.0520885,4500,0
25.3376056,-85.0524047,4600,0
25.328798,-85.0527207,4700,0
25.3199895,-85.0530366,4800,0
25.3111802,-85.0533524,4900,0
25.3023699,-85.0536681,5000,0
25.2935588,-85.0539836,5100,0
25.2847468,-85.054299,5200,0
25.2759338,-85.0546144,5300,0
25.26712,-85.0549296,5400,0
25.2583053,-85.0552446,5500,0
25.2494897,-85.0555596,5600,0
25.2406732,-85.0558744,5700,0
25.2318558,-85.0561891,5800,0
25.2230376,-85.0565037,5900,0
25.2142184,-85.0568182,6000,0
25.2053984,-85.0571326,6100,0
25.1965774,-85.0574468,6200,0
25.1877556,-85.0577609,6300,0
25.1789329,-85.0580749,6400,0
25.1701093,-85.0583888,6500,0
25.1612848,-85.0587026,6600,0
25.1524594,-85.0590162,6700,0
25.1436331,-85.0593297,6800,0
25.134806,-85.0596431,6900,0
25.1259779,-85.0599564,7000,0
25.117149,-85.0602696,7100,0
25.1083192,-85.0605826,7200,0
25.0994885,-85.0608955,7300,0
25.0906569,-85.0612083,7400,0
25.0818244,-85.061521,7500,0
25.072991,-85.0618336,7600,0
25.0641567,-85.062146,7700,0
25.0553216,-85.0624583,7800,0
25.0464855,-85.0627705,7900,0
25.0376486,-85.0630826,8000,0
25.0288108,-85.0633946,8100,0
25.0199721,-85.0637064,8200,0
25.0111325,-85.0640182,8300,0
25.0022921,-85.0643298,8400,0
24.9934507,-85.0646413,8500,0
24.9846085,-85.0649526,8600,0
24.9757653,-85.0652639,8700,0
24.9669213,-85.065575,8800,0
24.9580764,-85.065886,8900,0
24.9492306,-85.0661969,9000,0
24.940384,-85.0665077,9100,0
24.9315364,-85.0668183,9200,0
24.922688,-85.0671288,9300,0
24.9138387,-85.0674393,9400,0
24.9049885,-85.0677495,9500,0
24.8961374,-85.0680597,9600,0
24.8872854,-85.0683698,9700,0
24.8784325,-85.0686797,9800,0
24.8695788,-85.0689895,9900,0
24.8607242,-85.0692992,10000,0
24.8518686,-85.0696088,10100,0
24.8430122,-85.0699182,10200,0
24.834155,-85.0702275,10300,0
24.8252968,-85.0705367,10400,0
24.8164378,-85.0708458,10500,0
24.8075778,-85.0711548,10600,0
24.798717,-85.0714637,10700,0
24.7898553,-85.0717724,10800,0
24.7809928,-85.072081,10900,0
24.7721293,-85.0723895,11000,0
24.763265,-85.0726979,11100,0
24.7543997,-85.0730061,11200,0
24.7455336,-85.0733142,11300,0
24.7366666,-85.0736223,11400,0
24.7277988,-85.0739301,11500,0
24.71893,-85.0742379,11600,0
24.7100604,-85.0745456,11700,0
24.7011899,-85.0748531,11800,0
24.6923185,-85.0751605,11900,0
24.6835349,-85.0754647,11999,0
25.7378737,-85.0369749,0,100
25.7291084,-85.0372964,100,100
25.7203421,-85.0376177,200,100
25.711575,-85.0379389,300,100
25.702807,-85.03826,400,100
25.6940381,-85.038581,500,100
25.6852683,-85.0389019,600,100
25.6764976,-85.0392226,700,100
25.667726,-85.0395432,800,100
25.6589535,-85.0398638,900,100
25.6501801,-85.0401841,1000,100
25.6414059,-85.0405044,1100,100
25.6326307,-85.0408246,1200,100
25.6238546,-85.0411446,1300,100
25.6150776,-85.0414645,1400,100
25.6062998,-85.0417843,1500,100
25.597521,-85.042104,1600,100
25.5887413,-85.0424235,1700,100
25.5799608,-85.042743,1800,100
25.5711793,-85.0430623,1900,100
25.562397,-85.0433815,2000,100
25.5536137,-85.0437005,2100,100
25.5448296,-85.0440195,2200,100
25.5360446,-85.0443383,2300,100
25.5272587,-85.0446571,2400,100
25.5184718,-85.0449757,2500,100
25.5096841,-85.0452941,2600,100
25.5008955,-85.0456125,2700,100
25.492106,-85.0459307,2800,100
25.4833156,-85.0462489,2900,100
25.4745243,-85.0465669,3000,100
25.4657322,-85.0468848,3100,100
25.4569391,-85.0472025,3200,100
25.4481451,-85.0475202,3300,100
25.4393503,-85.0478377,3400,100
25.4305545,-85.0481551,3500,100
25.4217579,-85.0484724,3600,100
25.4129603,-85.0487896,3700,100
25.4041619,-85.0491066,3800,100
25.3953626,-85.0494236,3900,100
25.3865624,-85.0497404,4000,100
25.3777612,-85.0500571,4100,100
25.3689592,-85.0503736,4200,100
25.3601564,-85.0506901,4300,100
25.3513526,-85.0510064,4400,100
25.3425479,-85.0513226,4500,100
25.3337423,-85.0516387,4600,100
25.3249359,-85.0519547,4700,100
25.3161285,-85.0522706,4800,100
25.3073203,-85.0525863,4900,100
25.2985112,-85.0529019,5000,100
25.2897011,-85.0532174,5100,100
25.2808902,-85.0535328,5200,100
25.2720784,-85.0538481,5300,100
25.2632657,-85.0541632,5400,100
25.2544522,-85.0544782,5500,100
25.2456377,-85.0547931,5600,100
25.2368223,-85.0551079,5700,100
25.2280061,-85.0554226,5800,100
25.2191889,-85.0557371,5900,100
25.2103709,-85.0560516,6000,100
25.201552,-85.0563659,6100,100
25.1927322,-85.0566801,6200,100
25.1839115,-85.0569941,6300,100
25.1750899,-85.0573081,6400,100
25.1662674,-85.0576219,6500,100
25.1574441,-85.0579356,6600,100
25.1486198,-85.0582492,6700,100
25.1397947,-85.0585627,6800,100
25.1309687,-85.058876,6900,100
25.1221417,-85.0591892,7000,100
25.1133139,-85.0595024,7100,100
25.1044853,-85.0598153,7200,100
25.0956557,-85.0601282,7300,100
25.0868252,-85.060441,7400,100
25.0779939,-85.0607536,7500,100
25.0691616,-85.0610661,7600,100
25.0603285,-85.0613785,7700,100
25.0514945,-85.0616908,7800,100
25.0426596,-85.0620029,7900,100
25.0338238,-85.062315,8000,100
25.0249871,-85.0626269,8100,100
25.0161496,-85.0629387,8200,100
25.0073111,-85.0632504,8300,100
24.9984718,-85.0635619,8400,100
24.9896316,-85.0638733,8500,100
24.9807905,-85.0641847,8600,100
24.9719485,-85.0644959,8700,100
24.9631056,-85.0648069,8800,100
24.9542619,-85.0651179,8900,100
24.9454172,-85.0654287,9000,100
24.9365717,-85.0657394,9100,100
24.9277253,-85.06605,9200,100
24.918878,-85.0663605,9300,100
24.9100298,-85.0666709,9400,100
24.9011808,-85.0669811,9500,100
24.8923308,-85.0672912,9600,100
24.88348,-85.0676012,9700,100
24.8746283,-85.0679111,9800,100
24.8657757,-85.0682209,9900,100
24.8569222,-85.0685305,10000,100
24.8480678,-85.06884,10100,100
24.8392126,-85.0691494,10200,100
24.8303565,-85.0694587,10300,100
24.8214995,-85.0697679,10400,100
24.8126416,-85.0700769,10500,100
24.8037828,-85.0703858,10600,100
24.7949231,-85.0706946,10700,100
24.7860626,-85.0710033,10800,100
24.7772012,-85.0713119,10900,100
24.7683389,-85.0716203,11000,100
24.7594757,-85.0719286,11100,100
24.7506116,-85.0722368,11200,100
24.7417466,-85.0725449,11300,100
24.7328808,-85.0728529,11400,100
24.7240141,-85.0731607,11500,100
24.7151465,-85.0734684,11600,100
24.706278,-85.073776,11700,100
24.6974087,-85.0740835,11800,100
24.6885384,-85.0743909,11900,100
24.679756,-85.074695,11999,100
25.7339605,-85.0362114,0,200
25.7251963,-85.0365328,100,200
25.7164312,-85.0368541,200,200
25.7076651,-85.0371752,300,200
25.6988982,-85.0374963,400,200
25.6901304,-85.0378172,500,200
25.6813617,-85.038138,600,200
25.6725921,-85.0384587,700,200
25.6638216,-85.0387793,800,200
25.6550503,-85.0390997,900,200
25.646278,-85.0394201,1000,200
25.6375048,-85.0397403,1100,200
25.6287307,-85.0400604,1200,200
25.6199558,-85.0403804,1300,200
25.6111799,-85.0407002,1400,200
25.6024031,-85.04102,1500,200
25.5936255,-85.0413396,1600,200
25.5848469,-85.0416591,1700,200
25.5760675,-85.0419785,1800,200
25.5672871,-85.0422977,1900,200
25.5585059,-85.0426169,2000,200
25.5497238,-85.0429359,2100,200
25.5409407,-85.0432548,2200,200
25.5321568,-85.0435736,2300,200
25.523372,-85.0438923,2400,200
25.5145863,-85.0442108,2500,200
25.5057997,-85.0445292,2600,200
25.4970122,-85.0448476,2700,200
25.4882238,-85.0451657,2800,200
25.4794346,-85.0454838,2900,200
25.4706444,-85.0458018,3000,200
25.4618533,-85.0461196,3100,200
25.4530614,-85.0464373,3200,200
25.4442685,-85.0467549,3300,200
25.4354748,-85.0470724,3400,200
25.4266801,-85.0473898,3500,200
25.4178846,-85.047707,3600,200
25.4090882,-85.0480241,3700,200
25.4002909,-85.0483411,3800,200
25.3914927,-85.048658,3900,200
25.3826936,-85.0489748,4000,200
25.3738936,-85.0492914,4100,200
25.3650927,-85.0496079,4200,200
25.3562909,-85.0499243,4300,200
25.3474883,-85.0502406,4400,200
25.3386847,-85.0505568,4500,200
25.3298803,-85.0508728,4600,200
25.321075,-85.0511887,4700,200
25.3122687,-85.0515045,4800,200
25.3034616,-85.0518202,4900,200
25.2946536,-85.0521358,5000,200
25.2858447,-85.0524512,5100,200
25.2770349,-85.0527666,5200,200
25.2682243,-85.0530818,5300,200
25.2594127,-85.0533969,5400,200
25.2506002,-85.0537118,5500,200
25.2417869,-85.0540267,5600,200
25.2329727,-85.0543414,5700,200
25.2241575,-85.054656,5800,200
25.2153415,-85.0549705,5900,200
25.2065246,-85.0552849,6000,200
25.1977068,-85.0555992,6100,200
25.1888882,-85.0559133,6200,200
25.1800686,-85.0562273,6300,200
25.1712481,-85.0565412,6400,200
25.1624268,-85.056855,6500,200
25.1536046,-85.0571686,6600,200
25.1447815,-85.0574822,6700,200
25.1359574,-85.0577956,6800,200
25.1271326,-85.0581089,6900,200
25.1183068,-85.0584221,7000,200
25.1094801,-85.0587351,7100,200
25.1006526,-85.0590481,7200,200
25.0918241,-85.0593609,7300,200
25.0829948,-85.0596736,7400,200
25.0741646,-85.0599862,7500,200
25.0653335,-85.0602986,7600,200
25.0565015,-85.060611,7700,200
25.0476686,-85.0609232,7800,200
25.0388348,-85.0612353,7900,200
25.0300002,-85.0615473,8000,200
25.0211647,-85.0618592,8100,200
25.0123283,-85.0621709,8200,200
25.0034909,-85.0624825,8300,200
24.9946528,-85.062794,8400,200
24.9858137,-85.0631054,8500,200
24.9769737,-85.0634167,8600,200
24.9681329,-85.0637278,8700,200
24.9592912,-85.0640388,8800,200
24.9504485,-85.0643498,8900,200
24.941605,-85.0646605,9000,200
24.9327607,-85.0649712,9100,200
24.9239154,-85.0652817,9200,200
24.9150693,-85.0655922,9300,200
24.9062222,-85.0659025,9400,200
24.8973743,-85.0662127,9500,200
24.8885255,-85.0665227,9600,200
24.8796758,-85.0668327,9700,200
24.8708253,-85.0671425,9800,200
24.8619738,-85.0674522,9900,200
24.8531215,-85.0677618,10000,200
24.8442683,-85.0680713,10100,200
24.8354142,-85.0683806,10200,200
24.8265592,-85.0686899,10300,200
24.8177033,-85.068999,10400,200
24.8088466,-85.0693079,10500,200
24.7999889,-85.0696168,10600,200
24.7911304,-85.0699256,10700,200
24.782271,-85.0702342,10800,200
24.7734108,-85.0705427,10900,200
24.7645496,-85.0708511,11000,200
24.7556876,-85.0711594,11100,200
24.7468247,-85.0714675,11200,200
24.7379609,-85.0717755,11300,200
24.7290962,-85.0720835,11400,200
24.7202306,-85.0723912,11500,200
24.7113642,-85.0726989,11600,200
24.7024969,-85.0730065,11700,200
24.6936287,-85.0733139,11800,200
